"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2"
596,596,"f970e259-ea2a-4963-94a8-4a74934f05b5","hesuca15","hesuca15","Calico",2018-05-19 18:30:00,"jvanas","radio",NA,"Utm 
0642205
4002799
3 m","5/22/18 4:20","NDOWherps","5/22/18 4:20","NDOWherps",642205,4002799,-115.41901,36.15948,""
591,591,"a8763e86-346c-4113-adce-0c36fb85ba3e","hesuca15","hesuca15","Calico",2018-05-21 16:17:00,"jvanas","radio",140,"Utm 
0642654
4002845
 3 m
Way E on Kraft 
Under small rock low","5/22/18 4:19","NDOWherps","5/22/18 4:19","NDOWherps",642654,4002845,-115.41404,36.15979,""
612,612,"43292e40-8e3d-44c2-907f-81bc9799395f","hesuca15","hesuca15","Calico",2018-05-22 16:37:00,"jvanas","visual",176,"Utm 
0642600
4002858
 4 m
Out basking","5/23/18 23:51","NDOWherps","5/23/18 23:51","NDOWherps",642600,4002858,-115.41466,36.1601,""
609,609,"2652599b-1831-4acb-a090-532a1faaab08","hesuca15","hesuca15","Calico",2018-05-23 14:31:00,"jvanas","radio",153,"Utm 
0642597
4002873
 3 m
Same shelter as 5/22
","5/23/18 23:51","NDOWherps","5/23/18 23:51","NDOWherps",642597,4002873,-115.41467,36.16019,""
632,632,"0cfebd2f-414d-401e-9fdf-0bcb80533482","hesuca15","hesuca15","Calico",2018-05-25 15:24:00,"scohen","radio",NA,"Iâ€™m not 100 percent about shelter. ","5/25/18 22:53","NDOWherps","5/25/18 22:53","NDOWherps",642593,4002872,NA,NA,""
664,664,"c21dbed0-82e4-4056-8b19-0fa28883dab8","hesuca15","hesuca15","Calico",2018-05-27 15:17:00,"jvanas","radio",223,"Utm 
0642784
4002897
3 m
Moved E still low
Good tracks","5/27/18 19:40","NDOWherps","5/27/18 19:40","NDOWherps",642784,4002897,-115.41243,36.16036,""
679,679,"b6b8ef76-ddf2-47b1-95e3-eeced80abffb","hesuca15","hesuca15","Calico",2018-05-30 14:07:00,"jvanas","radio",166,"Utm 
0642605
4002846
3 m
Small rock shelter deep","5/30/18 19:20","NDOWherps","5/30/18 19:20","NDOWherps",642605,4002846,-115.41463,36.15991,""
689,689,"8e71010c-3058-443b-a531-778cff01db8b","hesuca15","hesuca15","Calico",2018-05-31 14:48:00,"jvanas","radio",150,"Utm 
0642605
4002849
5 m 
","5/31/18 17:09","NDOWherps","5/31/18 17:09","NDOWherps",642605,4002849,-115.41461,36.15991,""
690,690,"31a29ef3-eb6e-46eb-8596-1f080644e967","hesuca15","hesuca15","Calico",2018-06-01 02:10:00,"jvanas","visual",157,"Utm 
0642512
4002788
Under big rock
 4 m
At 8:15  on my second check C10 was attempting to mate with C 15","6/1/18 5:04","NDOWherps","6/1/18 5:04","NDOWherps",642512,4002788,-115.4157,36.15936,""
695,695,"3afbbe58-7e73-475b-9bbd-51e24531bb90","hesuca15","hesuca15","Calico",2018-06-02 17:28:00,"jvanas","radio",126,"Utm 
0642641
4002813
 6 m
E end of Kraft 
Under big rock 
Low near main path","6/2/18 20:04","NDOWherps","6/2/18 20:04","NDOWherps",642641,4002813,-115.41424,36.15953,""
763,763,"5007fb62-ace6-49e0-881e-0877f5a80ef8","hesuca15","hesuca15","Calico",2018-06-06 15:26:00,"scohen","radio",NA,"Seen on the crawl down in the flats.","6/23/18 20:58","NDOWherps","6/23/18 20:58","NDOWherps",642597,4002750,NA,NA,""
730,730,"9e93f1fd-f087-464b-a926-4d1c83fe438a","hesuca15","hesuca15","Calico",2018-06-09 15:02:00,"jvanas","radio",156,"Utm 
0642517
4002846
 3 m
Large rock shelter 
Not too high
Off fence corner","6/9/18 16:38","NDOWherps","6/9/18 16:38","NDOWherps",642517,4002846,-115.41558,36.15987,""
732,732,"54bb0dd3-ef15-465a-bd40-e3dbca945b04","hesuca15","hesuca15","Calico",2018-06-10 01:24:00,"jvanas","visual",187,"Utm 
0642512
4002842
 3 m
Visual digging at shelter entrance
","6/10/18 4:48","NDOWherps","6/10/18 4:48","NDOWherps",642512,4002842,-115.41561,36.15995,""
739,739,"f1dafa3f-9f6b-45cf-bba1-34dfeb497b14","hesuca15","hesuca15","Calico",2018-06-12 03:15:00,"jvanas","visual",NA,"Utm 
0642371
4002914
 4 m
Surface active 
Above and E of Camera cave a little","6/12/18 5:37","NDOWherps","6/12/18 5:37","NDOWherps",642371,4002914,-115.41718,36.16056,""
798,798,"0af7ba75-a6f9-447c-945f-d7918adcfed6","hesuca15","hesuca15","Calico",2018-06-27 15:10:00,"scohen","radio",188,"Belly tracks visible outside of shelter.","7/11/18 21:25","NDOWherps","7/11/18 21:25","NDOWherps",642322,4002951,NA,NA,""
775,775,"9e446cf9-2914-4d78-a161-3b37fcb308c2","hesuca15","hesuca15","Calico",2018-07-07 15:40:00,"jvanas","radio",210,"Utm 
0642340 
4002938
3 m
Above Camera cave 
Lots of tracks ","7/7/18 18:03","NDOWherps","7/7/18 18:03","NDOWherps",642340,4002938,-115.41736,36.16081,""
781,781,"e875d867-2232-4784-b90c-07f9732a99e2","hesuca15","hesuca15","Calico",2018-07-10 14:31:00,"jvanas","radio",159,"Utm 
0642540
4002920
 3 m
E on Kraft and up high on slope ","7/10/18 18:30","NDOWherps","7/10/18 18:30","NDOWherps",642540,4002920,-115.41537,36.1607,""
802,802,"71e33c57-2557-450f-b81a-f26335fc92ab","hesuca15","hesuca15","Calico",2018-07-13 12:51:00,"jvanas","radio",180,"On top of â€œfamily cragâ€ù under giant boulder","7/13/18 15:33","NDOWherps","7/13/18 15:33","NDOWherps",642725,4002804,-115.41324,36.15945,""
807,807,"82f2347a-7cde-48ae-abde-6a0dd744f876","hesuca15","hesuca15","Calico",2018-07-15 14:37:00,"jvanas","radio",220,"On top of â€œfamily cragâ€ù under giant boulder","7/16/18 11:57","NDOWherps","7/16/18 11:57","NDOWherps",642642,4002871,-115.41415,36.16009,""
1149,1149,"5ab90c6f-ed94-4886-8206-6fd03afd999c","hesuca15","other","Calico",2018-07-18 13:44:00,"other","radio",170,"In shelter not visible. Collocated with HESU12.","5/14/19 5:56","NDOWherps","5/14/19 5:56","NDOWherps",642329,4002901,NA,NA,""
819,819,"9090b439-30c0-4213-be87-f05fcde081a2","hesuca15","hesuca15","Calico",2018-07-19 12:01:00,"jvanas","radio",NA,"Utm 
0642329
4002901 4 m
By Camera cave ","7/23/18 17:15","NDOWherps","7/23/18 17:15","NDOWherps",642329,4002901,-115.41767,36.16041,""
836,836,"3c5b8dba-6cb4-4d49-8953-a9133ceeda85","hesuca15","hesuca15","Calico",2018-07-30 13:59:00,"jvanas","radio",NA,"Utm 
0642655
4002875
3 m
Low on slope","8/1/18 18:07","NDOWherps","8/1/18 18:07","NDOWherps",642655,4002875,-115.41405,36.16013,""
