"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2"
88,88,"b70a8634-0309-4d0b-9d98-690bb9296e90","hesuca8","other","Calico",2017-05-10 15:32:00,"jvanas","capture",NA,"UTM 
0642796
4002311
New. Out sunningb","5/10/17 21:02","NDOWherps","5/10/17 21:02","NDOWherps",642796,4002311,-115.41256,36.15488,""
421,421,"15948d70-0ea1-42e8-9cce-09577c84ea49","hesuca8","hesucal8","Calico",2018-03-30 20:58:00,"anorthrop","visual",100,"0641907, 4001058
","3/30/18 21:26","NDOWherps","3/30/18 21:26","NDOWherps",641907,4001058,NA,NA,""
554,554,"fcd30c77-c4d8-4147-a806-dbb0cf223af4","hesuca8","hesucal8","Calico",2018-05-04 22:01:00,"scohen","radio",97,"Seen walking away from the shelter it went into. I believe the shelter it went in is only a temporary shelter due to the fact it wasn‰Ûªt able to fit all the way in.
Fresh tracks were seen coming out of what I presume to be it‰Ûªs previous shelter (the poop )","5/12/18 20:36","NDOWherps","5/12/18 20:36","NDOWherps",641742,4000847,NA,NA,""
545,545,"acf94429-8163-4f43-9c26-31001aca7430","hesuca8","hesucal8","Calico",2018-05-09 15:32:00,"scohen","radio",189,"Utm 
0641943
4000871
3 m
Up high","5/11/18 1:42","NDOWherps","5/11/18 1:42","NDOWherps",641943,4000871,-115.42226,36.14224,""
684,684,"70206e0d-a8fd-404a-9b00-13924d060ebd","hesuca8","hesucal8","Calico",2018-05-30 14:30:00,"scohen","radio",163,"Got a visual on C8 peeking out of her shelter. She came out to check me out upon taking data.
I grabbed her to make sure it was C8.","5/31/18 3:28","NDOWherps","5/31/18 3:28","NDOWherps",641978,4000871,NA,NA,""
764,764,"b723308f-6a2a-4a35-b052-c0487da7fedb","hesuca8","hesucal8","Calico",2018-06-06 14:23:00,"scohen","radio",170,"C8 for the second time came charging out of the shelter towards me when I approached.","6/23/18 20:58","NDOWherps","6/23/18 20:58","NDOWherps",641976,4000869,NA,NA,""
779,779,"710ef61c-3b38-44a5-b4ae-5755ae636b01","hesuca8","hesucal8","Calico",2018-07-08 14:02:00,"jvanas","radio",11,"Utm 
0641900
4000727
 2 m
On S slope of wash
Under small stand alone rock
 Behind Red Spring","7/8/18 16:07","NDOWherps","7/8/18 16:07","NDOWherps",641900,4000727,-115.42275,36.14084,""
830,830,"feafe5ff-f21c-4ea7-a863-d21c41de913a","hesuca8","hesucal8","Calico",2018-07-28 14:42:00,"khunt","radio",50,"In rock shelter south of Red Springs parking lot ","7/31/18 21:34","NDOWherps","7/31/18 21:34","NDOWherps",642091,4000895,NA,NA,""
837,837,"bfb46536-4f25-43ed-bcb6-43056ee6e406","hesuca8","hesucal8","Calico",2018-07-30 15:17:00,"jvanas","radio",60,"Utm 
0642087
4000904
 3 m

","8/1/18 18:07","NDOWherps","8/1/18 18:07","NDOWherps",642087,4000904,-115.42075,36.14238,""
848,848,"ac7839d3-3010-44bd-b53d-567c6509cf15","hesuca8","hesucal8","Calico",2018-08-09 14:48:00,"jvanas","radio",61,"Utm 
0642094
4000888
4 m
New shelter","8/9/18 16:25","NDOWherps","8/9/18 16:25","NDOWherps",642094,4000888,NA,NA,""
